date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:04	24036/24036	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jan%202022%2009:17:06%20GMT	https://gamehaxtools.com/fortnite/	D:/mmo/CPA/all%20templates/fortnite2022/gamehaxtools.com/fortnite/index.html	(from )
16:17:06	117/117	---MC-	200	added ('OK')	text/plain	date:Fri,%2021%20Jan%202022%2009:17:08%20GMT	https://gamehaxtools.com/robots.txt		(from )
16:17:06	67961/67961	---M-Z	200	added ('OK')	application/javascript	etag:%2242639cce5db857005b8285dedd67553d%22	https://browser.sentry-cdn.com/6.4.1/bundle.min.js	D:/mmo/CPA/all%20templates/fortnite2022/browser.sentry-cdn.com/6.4.1/bundle.min.js	(from https://gamehaxtools.com/fortnite/)
16:17:07	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	D:/mmo/CPA/all%20templates/fortnite2022/www.google-analytics.com/analytics.js	(from https://gamehaxtools.com/fortnite/)
16:17:07	487924/487924	---M--	200	added ('OK')	image/jpg	etag:%22917350b8eb3f83c54f6e2103981c1fb6%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1626065346116971bcc53c03f0a9f7afb21eb59370.jpg	D:/mmo/CPA/all%20templates/fortnite2022/d13pxqgp3ixdbh.cloudfront.net/uploads/1626065346116971bcc53c03f0a9f7afb21eb59370.jpg	(from https://gamehaxtools.com/fortnite/)
16:17:09	11829/11829	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Jan%202022%2009:17:11%20GMT	https://gamehaxtools.com/fortnite/style.css	D:/mmo/CPA/all%20templates/fortnite2022/gamehaxtools.com/fortnite/style.3.delayed	(from https://gamehaxtools.com/fortnite/)
16:17:10	19059/19059	---M--	200	added ('OK')	image/png	etag:%220b1778e7057a1f268f2d20a44eb8d6a2%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1626068936781feba6d99a5d4953bbed274fc7bce9.png	D:/mmo/CPA/all%20templates/fortnite2022/d13pxqgp3ixdbh.cloudfront.net/uploads/1626068936781feba6d99a5d4953bbed274fc7bce9.png	(from https://gamehaxtools.com/fortnite/)
16:17:10	17092/17092	---M--	200	added ('OK')	image/png	etag:%2224fa63007c9e5b87ec659538827ec7ef%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1605198014035313f8750beb78e821cd36e4ee628d.png	D:/mmo/CPA/all%20templates/fortnite2022/d13pxqgp3ixdbh.cloudfront.net/uploads/1605198014035313f8750beb78e821cd36e4ee628d.png	(from https://gamehaxtools.com/fortnite/)
16:17:10	18094/18094	---M--	200	added ('OK')	image/png	etag:%224b0fa95e9be373ae57e6521ea98dfcf5%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/1605198014adf9ffe4eda0156f09da916c366d22ef.png	D:/mmo/CPA/all%20templates/fortnite2022/d13pxqgp3ixdbh.cloudfront.net/uploads/1605198014adf9ffe4eda0156f09da916c366d22ef.png	(from https://gamehaxtools.com/fortnite/)
16:17:11	18107/18107	---M--	200	added ('OK')	image/png	etag:%220f2a424067553995cafe98b206f2f3f6%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/16051980144ce75ba5e52cd007902df6b41335efdc.png	D:/mmo/CPA/all%20templates/fortnite2022/d13pxqgp3ixdbh.cloudfront.net/uploads/16051980144ce75ba5e52cd007902df6b41335efdc.png	(from https://gamehaxtools.com/fortnite/)
